category,tag,domain,source,environment,scenario,file
mass/thin,light,environmental,bamboo,grove,bamboo leaves rustling in a gentle breeze,light/light_environmental_0149.mp3
mass/thin,light,environmental,reeds,marsh,dry cattail stalks rubbing together,light/light_environmental_0150.mp3
mass/thin,light,environmental,pollen,meadow,a cloud of pollen being shaken from a tree,light/light_environmental_0151.mp3
mass/thin,light,environmental,dust,attic,a light breeze stirring dust in an attic,light/light_environmental_0152.mp3
mass/thin,light,environmental,shell,shoreline,a small shell rolling on a sandy beach,light/light_environmental_0153.mp3
mass/thin,light,environmental,bubble,pond,a small air bubble popping on a pond surface,light/light_environmental_0154.mp3
mass/thin,light,organic,hummingbird,garden,a hummingbird's wing brushing a flower petal,light/light_organic_0155.mp3
mass/thin,light,organic,butterfly,meadow,the wings of a butterfly fluttering near a leaf,light/light_organic_0156.mp3
mass/thin,light,organic,beetle,shed,a beetle's wings buzzing as it flies through a shed,light/light_organic_0157.mp3
mass/thin,light,organic,fingernail,desk,a fingernail tapping lightly on a polished desk,light/light_organic_0158.mp3
mass/thin,light,organic,hair,salon,a brush running through a thin lock of hair,light/light_organic_0159.mp3
mass/thin,light,organic,feathers,aviary,a bird preening its feathers in a quiet coop,light/light_organic_0160.mp3
mass/thin,light,organic,cicada,woods,a single cicada wing clicking in the trees,light/light_organic_0161.mp3
mass/thin,light,organic,claws,floor,a kitten's claws clicking on a tile floor,light/light_organic_0162.mp3
mass/thin,light,organic,beak,farm,a small bird pecking at a plastic tray,light/light_organic_0163.mp3
mass/thin,light,organic,scales,terrarium,a lizard's scales brushing against a leaf,light/light_organic_0164.mp3
mass/thin,light,organic,twigs,forest,a tiny dry twig snapping under a footstep,light/light_organic_0165.mp3
mass/thin,light,organic,seeds,pantry,dry sesame seeds being poured into a bowl,light/light_organic_0166.mp3
mass/thin,light,organic,eggshell,kitchen,a dry eggshell being crushed by a finger,light/light_organic_0167.mp3
mass/thin,light,organic,fruit,orchard,a small berry falling onto a bed of moss,light/light_organic_0168.mp3
mass/thin,light,organic,bark,woods,a piece of thin bark peeling from a birch tree,light/light_organic_0169.mp3
mass/thin,light,organic,web,attic,a spider web being broken by a light breeze,light/light_organic_0170.mp3
mass/thin,light,domestic,tissue paper,bedroom,a piece of tissue paper falling onto a floor,light/light_domestic_0171.mp3
mass/thin,light,domestic,glass bead,craft room,a glass bead falling into a plastic tray,light/light_domestic_0172.mp3
mass/thin,light,domestic,aluminum foil,pantry,a small piece of foil being crinkled,light/light_domestic_0173.mp3
mass/thin,light,domestic,silverware,kitchen,a teaspoon clinking against a porcelain cup,light/light_domestic_0174.mp3
mass/thin,light,domestic,wine glass,restaurant,a wine glass being tapped with a ring,light/light_domestic_0175.mp3
mass/thin,light,domestic,curtain,living room,a sheer lace curtain fluttering in wind,light/light_domestic_0176.mp3
mass/thin,light,domestic,pillow,bedroom,a person resting their head on a down pillow,light/light_domestic_0177.mp3
mass/thin,light,domestic,zipper,closet,a small plastic zipper being pulled up,light/light_domestic_0178.mp3
mass/thin,light,domestic,key,foyer,a single small key being set on a glass table,light/light_domestic_0179.mp3
mass/thin,light,domestic,mirror,dressing room,a hand mirror being placed on a vanity,light/light_domestic_0180.mp3
mass/thin,light,domestic,thimble,sewing room,a metal thimble tapping a glass jar,light/light_domestic_0181.mp3
mass/thin,light,domestic,soap,bathroom,a bubble popping on a bar of wet soap,light/light_domestic_0182.mp3
mass/thin,light,domestic,string,garage,a piece of twine being snapped by hand,light/light_domestic_0183.mp3
mass/thin,light,domestic,plastic lid,kitchen,a plastic lid being set on a counter,light/light_domestic_0184.mp3
mass/thin,light,domestic,napkin,dining room,a paper napkin being unfolded on a table,light/light_domestic_0185.mp3
mass/thin,light,domestic,sponge,bathroom,a dry sponge being squeezed in a hand,light/light_domestic_0186.mp3
mass/thin,light,domestic,ribbon,gift shop,a silk ribbon being pulled through a spool,light/light_domestic_0187.mp3
mass/thin,light,electronic,piezo,toy store,a tiny piezo buzzer emitting a short pulse,light/light_electronic_0188.mp3
mass/thin,light,electronic,static,carpet,a small static spark from a finger to a knob,light/light_electronic_0189.mp3
mass/thin,light,electronic,capacitor,workshop,a small capacitor discharging with a click,light/light_electronic_0190.mp3
mass/thin,light,electronic,relay,server room,a small electronic relay switching once,light/light_electronic_0191.mp3
mass/thin,light,electronic,hard drive,office,a hard drive seek noise in a laptop,light/light_electronic_0192.mp3
mass/thin,light,electronic,oscillator,studio,a high-frequency sine wave at low volume,light/light_electronic_0193.mp3
mass/thin,light,electronic,circuit,lab,a circuit tester probing a gold contact,light/light_electronic_0194.mp3
mass/thin,light,electronic,pigtail wire,bench,a thin wire being snipped by pliers,light/light_electronic_0195.mp3
mass/thin,light,electronic,fan,bedroom,a miniature fan whirring on a usb port,light/light_electronic_0196.mp3
mass/thin,light,electronic,keyboard,study,a laptop key being pressed very lightly,light/light_electronic_0197.mp3
mass/thin,light,electronic,mouse,desk,a mouse button clicking in a quiet room,light/light_electronic_0198.mp3
mass/thin,light,electronic,sensor,hallway,a proximity sensor clicking once,light/light_electronic_0199.mp3
mass/thin,light,electronic,solenoid,vending machine,a tiny solenoid firing in a machine,light/light_electronic_0200.mp3
mass/thin,light,electronic,transformer,closet,a faint high-pitched buzz from a transformer,light/light_electronic_0201.mp3
mass/thin,light,electronic,led,control room,a light-up button being tapped softly,light/light_electronic_0202.mp3
mass/thin,light,electronic,stylus,workshop,a metal stylus tapping a plastic screen,light/light_electronic_0203.mp3
mass/thin,compact,musical,steel ball,concert hall,a solid steel ball striking a thick stone plate,compact/compact_musical_0103.mp3
mass/thin,compact,musical,woodblock,music room,a small hardwood block being struck by a mallet,compact/compact_musical_0104.mp3
mass/thin,compact,musical,chime,monastery,a single short chime from a heavy brass bowl,compact/compact_musical_0105.mp3
mass/thin,compact,musical,drum,rehearsal room,a small tight drum being struck in the center,compact/compact_musical_0106.mp3
mass/thin,compact,musical,piano,studio,a single high piano note played with no pedal,compact/compact_musical_0107.mp3
mass/thin,compact,musical,triangle,theatre,a triangle being struck and immediately dampened,compact/compact_musical_0108.mp3
mass/thin,compact,musical,marimba,hall,a high marimba bar being struck with a hard mallet,compact/compact_musical_0109.mp3
mass/thin,compact,musical,cowbell,farm,a cowbell being struck and held by the hand,compact/compact_musical_0110.mp3
mass/thin,compact,musical,xylophone,classroom,a xylophone bar struck with a hard mallet,compact/compact_musical_0111.mp3
mass/thin,compact,musical,shaker,studio,a small metal shaker being pulsed sharply,compact/compact_musical_0112.mp3
mass/thin,compact,musical,cymbals,stage,a pair of finger cymbals clashing and stopping,compact/compact_musical_0113.mp3
mass/thin,compact,musical,tambourine,booth,a tambourine being struck while on a table,compact/compact_musical_0114.mp3
mass/thin,compact,musical,clave,courtyard,two rosewood claves being struck together,compact/compact_musical_0115.mp3
mass/thin,compact,musical,castanets,dance studio,a pair of castanets clicking once sharply,compact/compact_musical_0116.mp3
mass/thin,compact,musical,guiro,veranda,a guiro being scraped with a short stroke,compact/compact_musical_0117.mp3
mass/thin,compact,musical,kalimba,garden,a kalimba tine being plucked on a solid base,compact/compact_musical_0118.mp3
mass/thin,compact,musical,snare drum,garage,a tight snare drum being struck with a rimshot,compact/compact_musical_0119.mp3
mass/thin,compact,mechanical,gear,workshop,a precision watch gear clicking into place,compact/compact_mechanical_0120.mp3
mass/thin,compact,mechanical,piston,engine room,a small metal piston firing in a tight sleeve,compact/compact_mechanical_0121.mp3
mass/thin,compact,mechanical,stapler,office,a heavy desktop stapler firing into paper,compact/compact_mechanical_0122.mp3
mass/thin,compact,mechanical,camera,gallery,a modern camera shutter clicking sharply,compact/compact_mechanical_0123.mp3
mass/thin,compact,mechanical,switch,control room,a heavy plastic toggle switch being flipped,compact/compact_mechanical_0124.mp3
mass/thin,compact,mechanical,solenoid,factory,a small industrial solenoid clunking once,compact/compact_mechanical_0125.mp3
mass/thin,compact,mechanical,typewriter,library,a typewriter key striking the platen sharply,compact/compact_mechanical_0126.mp3
mass/thin,compact,mechanical,latch,vault,a metal latch snapping shut on a steel box,compact/compact_mechanical_0127.mp3
mass/thin,compact,mechanical,drill,woodshop,a drill bit snapping into a metal chuck,compact/compact_mechanical_0128.mp3
mass/thin,compact,mechanical,hammer,construction site,a finishing hammer striking a steel nail,compact/compact_mechanical_0129.mp3
mass/thin,compact,mechanical,punch,mailroom,a hole punch snapping through cardstock,compact/compact_mechanical_0130.mp3
mass/thin,compact,mechanical,valve,industrial plant,a metal valve clicking as it closes,compact/compact_mechanical_0131.mp3
mass/thin,compact,mechanical,relay,telecom hub,a mechanical relay clicking in a rack,compact/compact_mechanical_0132.mp3
mass/thin,compact,mechanical,meter,lab,an analog meter needle hitting its limit,compact/compact_mechanical_0133.mp3
mass/thin,compact,mechanical,shutter,photolab,a high-speed shutter clicking in a camera,compact/compact_mechanical_0134.mp3
mass/thin,compact,mechanical,clasp,dressing room,a metal briefcase clasp snapping shut,compact/compact_mechanical_0135.mp3
mass/thin,compact,mechanical,plunger,workshop,a spring-loaded plunger being released,compact/compact_mechanical_0136.mp3
mass/thin,compact,environmental,pebble,mountain,a small quartz pebble falling into a narrow crevice,compact/compact_environmental_0137.mp3
mass/thin,compact,environmental,hail,greenhouse,a single hailstone hitting a glass pane,compact/compact_environmental_0138.mp3
mass/thin,compact,environmental,ice,lake,a small piece of ice snapping on a frozen shore,compact/compact_environmental_0139.mp3
mass/thin,compact,environmental,rock,desert,a small dense rock being struck by another,compact/compact_environmental_0140.mp3
mass/thin,compact,environmental,twig,forest,a thick dry twig snapping once sharply,compact/compact_environmental_0141.mp3
mass/thin,compact,environmental,seed,garden,a large dry seed hitting a wooden deck,compact/compact_environmental_0142.mp3
mass/thin,compact,environmental,shell,beach,a thick seashell being dropped on wet sand,compact/compact_environmental_0143.mp3
mass/thin,compact,environmental,acorn,woods,an acorn falling onto a flat stone ledge,compact/compact_environmental_0144.mp3
mass/thin,compact,environmental,shale,clifftop,a small piece of shale snapping in two,compact/compact_environmental_0145.mp3
mass/thin,compact,environmental,stalactite,cave,a water drop hitting a hard stone floor,compact/compact_environmental_0146.mp3
mass/thin,compact,environmental,salt,basin,a chunk of salt crust being snapped by hand,compact/compact_environmental_0147.mp3
mass/thin,compact,environmental,geyser,thermal field,a short burst of steam from a vent,compact/compact_environmental_0148.mp3
mass/thin,compact,environmental,bamboo,grove,two bamboo stalks knocking together once,compact/compact_environmental_0149.mp3
mass/thin,compact,environmental,lava,volcano,a piece of obsidian being struck by a hammer,compact/compact_environmental_0150.mp3
mass/thin,compact,environmental,pine cone,forest,a pine cone hitting a hard tree trunk,compact/compact_environmental_0151.mp3
mass/thin,compact,environmental,quartz,riverbed,two smooth quartz stones clacking together,compact/compact_environmental_0152.mp3
mass/thin,compact,environmental,bubble,swamp,a single large gas bubble popping in mud,compact/compact_environmental_0153.mp3
mass/thin,compact,organic,walnut,kitchen,a walnut being crushed by a metal vice,compact/compact_organic_0154.mp3
mass/thin,compact,organic,teeth,bedroom,teeth clicking together once in a quiet room,compact/compact_organic_0155.mp3
mass/thin,compact,organic,fingernail,office,a fingernail tapping once on a glass screen,compact/compact_organic_0156.mp3
mass/thin,compact,organic,beak,farm,a bird's beak pecking once at a metal tray,compact/compact_organic_0157.mp3
mass/thin,compact,organic,claws,floor,a dog's claw clicking on a marble floor,compact/compact_organic_0158.mp3
mass/thin,compact,organic,bone,museum,a small dense bone being set on a stone table,compact/compact_organic_0159.mp3
mass/thin,compact,organic,hoof,stable,a horse's hoof striking a concrete floor once,compact/compact_organic_0160.mp3
mass/thin,compact,organic,shell,beach,a crab's claw snapping shut on a rock,compact/compact_organic_0161.mp3
mass/thin,compact,organic,seed pod,savanna,a dry seed pod snapping open once,compact/compact_organic_0162.mp3
mass/thin,compact,organic,antler,tundra,two antlers clashing together once sharply,compact/compact_organic_0163.mp3
mass/thin,compact,organic,scales,desert,a lizard's tail hitting a dry piece of wood,compact/compact_organic_0164.mp3
mass/thin,compact,organic,heart,doctor office,a single strong heartbeat through a stethoscope,compact/compact_organic_0165.mp3
